cell_id,cell_cycle_state,new_cell_cycle_state,checked,corrected
SA928-A73044A-R11-C03,G1,G1,False,False
SA928-A73044A-R11-C05,G1,G1,False,False
SA928-A73044A-R11-C06,G1,G1,False,False
SA928-A73044A-R11-C08,G1,G1,False,False
SA928-A73044A-R11-C10,G1,G1,False,False
SA928-A73044A-R11-C11,G1,G1,False,False
SA928-A73044A-R11-C12,G1,G1,False,False
SA928-A73044A-R11-C13,G1,G1,False,False
SA928-A73044A-R11-C14,G1,S,True,True
SA928-A73044A-R11-C16,G1,G1,False,False
SA928-A73044A-R11-C17,G1,G1,False,False
SA928-A73044A-R11-C19,G1,G1,False,False
SA928-A73044A-R11-C21,G2,G2,False,False
SA928-A73044A-R11-C24,G2,G2,False,False
SA928-A73044A-R11-C25,G2,G2,False,False
SA928-A73044A-R11-C26,G2,G2,False,False
SA928-A73044A-R11-C27,G2,G2,False,False
SA928-A73044A-R11-C30,G2,G2,False,False
SA928-A73044A-R11-C32,G2,G2,False,False
SA928-A73044A-R11-C34,G2,G2,False,False
SA928-A73044A-R11-C35,G2,G2,False,False
SA928-A73044A-R11-C37,G1,G1,False,False
SA928-A73044A-R11-C41,S,S,True,False
SA928-A73044A-R11-C43,S,S,True,False
SA928-A73044A-R11-C44,S,S,True,False
SA928-A73044A-R11-C45,S,S,True,False
SA928-A73044A-R11-C48,S,S,True,False
SA928-A73044A-R11-C49,S,S,True,False
SA928-A73044A-R11-C50,S,S,True,False
SA928-A73044A-R11-C51,S,S,True,False
SA928-A73044A-R11-C52,S,S,False,False
SA928-A73044A-R12-C03,G1,G1,False,False
SA928-A73044A-R12-C05,G1,G1,False,False
SA928-A73044A-R12-C06,G1,G1,False,False
SA928-A73044A-R12-C07,G1,G1,False,False
SA928-A73044A-R12-C08,G1,G1,False,False
SA928-A73044A-R12-C09,G1,G1,False,False
SA928-A73044A-R12-C10,G1,G1,False,False
SA928-A73044A-R12-C13,G1,G1,False,False
SA928-A73044A-R12-C14,G1,S,True,True
SA928-A73044A-R12-C16,G1,G1,False,False
SA928-A73044A-R12-C17,G1,G1,False,False
SA928-A73044A-R12-C18,G1,G1,False,False
SA928-A73044A-R12-C19,G1,G1,False,False
SA928-A73044A-R12-C25,G2,S,True,True
SA928-A73044A-R12-C26,G2,G2,False,False
SA928-A73044A-R12-C29,G2,G2,False,False
SA928-A73044A-R12-C34,G2,G2,False,False
SA928-A73044A-R12-C37,G1,G1,False,False
SA928-A73044A-R12-C40,S,S,True,False
SA928-A73044A-R12-C41,S,S,True,False
SA928-A73044A-R12-C44,S,S,True,False
SA928-A73044A-R12-C45,S,S,True,False
SA928-A73044A-R12-C49,S,S,False,False
SA928-A73044A-R12-C50,S,S,True,False
SA928-A73044A-R12-C51,S,S,True,False
SA928-A73044A-R13-C03,G1,G1,False,False
SA928-A73044A-R13-C05,G1,G1,False,False
SA928-A73044A-R13-C06,G1,G1,False,False
SA928-A73044A-R13-C08,G1,G1,False,False
SA928-A73044A-R13-C10,G1,G1,False,False
SA928-A73044A-R13-C11,G1,G1,False,False
SA928-A73044A-R13-C12,G1,G1,False,False
SA928-A73044A-R13-C14,G1,G1,False,False
SA928-A73044A-R13-C19,G1,G1,False,False
SA928-A73044A-R13-C21,G2,G2,False,False
SA928-A73044A-R13-C25,G2,G2,False,False
SA928-A73044A-R13-C28,G2,G2,False,False
SA928-A73044A-R13-C29,G2,G2,False,False
SA928-A73044A-R13-C32,G2,G2,False,False
SA928-A73044A-R13-C33,G2,G2,False,False
SA928-A73044A-R13-C34,G2,G2,False,False
SA928-A73044A-R13-C35,G2,S,True,True
SA928-A73044A-R13-C37,G1,G1,False,False
SA928-A73044A-R13-C40,S,S,True,False
SA928-A73044A-R13-C41,S,S,True,False
SA928-A73044A-R13-C42,S,S,True,False
SA928-A73044A-R13-C43,S,S,True,False
SA928-A73044A-R13-C44,S,S,True,False
SA928-A73044A-R13-C45,S,G2,True,True
SA928-A73044A-R13-C48,S,S,False,False
SA928-A73044A-R13-C50,S,S,True,False
SA928-A73044A-R13-C51,S,S,True,False
SA928-A73044A-R14-C03,G1,G1,False,False
SA928-A73044A-R14-C05,G1,G1,False,False
SA928-A73044A-R14-C06,G1,G1,False,False
SA928-A73044A-R14-C08,G1,G1,False,False
SA928-A73044A-R14-C09,G1,G1,False,False
SA928-A73044A-R14-C10,G1,G1,True,False
SA928-A73044A-R14-C13,G1,G1,False,False
SA928-A73044A-R14-C14,G1,G1,False,False
SA928-A73044A-R14-C16,G1,S,True,True
SA928-A73044A-R14-C17,G1,G1,False,False
SA928-A73044A-R14-C18,G1,G1,False,False
SA928-A73044A-R14-C19,G1,G1,False,False
SA928-A73044A-R14-C21,G2,G2,False,False
SA928-A73044A-R14-C22,G2,G2,False,False
SA928-A73044A-R14-C25,G2,G2,False,False
SA928-A73044A-R14-C26,G2,G2,False,False
SA928-A73044A-R14-C27,G2,G2,False,False
SA928-A73044A-R14-C28,G2,G2,True,False
SA928-A73044A-R14-C29,G2,G2,False,False
SA928-A73044A-R14-C33,G2,G2,False,False
SA928-A73044A-R14-C37,G1,G1,False,False
SA928-A73044A-R14-C40,S,S,True,False
SA928-A73044A-R14-C41,S,S,True,False
SA928-A73044A-R14-C42,S,S,True,False
SA928-A73044A-R14-C43,S,S,True,False
SA928-A73044A-R14-C45,S,S,True,False
SA928-A73044A-R14-C49,S,S,True,False
SA928-A73044A-R14-C50,S,S,True,False
SA928-A73044A-R14-C51,S,S,True,False
SA928-A73044A-R14-C52,S,S,True,False
SA928-A73044A-R15-C03,G1,G1,False,False
SA928-A73044A-R15-C06,G1,G1,False,False
SA928-A73044A-R15-C07,G1,G1,False,False
SA928-A73044A-R15-C09,G1,G1,False,False
SA928-A73044A-R15-C11,G1,G1,False,False
SA928-A73044A-R15-C12,G1,G1,False,False
SA928-A73044A-R15-C15,G1,G1,False,False
SA928-A73044A-R15-C16,G1,G1,False,False
SA928-A73044A-R15-C17,G1,G1,False,False
SA928-A73044A-R15-C18,G1,G1,False,False
SA928-A73044A-R15-C22,G2,G2,False,False
SA928-A73044A-R15-C24,G2,G2,False,False
SA928-A73044A-R15-C26,G2,G2,False,False
SA928-A73044A-R15-C27,G2,G2,False,False
SA928-A73044A-R15-C28,G2,G2,False,False
SA928-A73044A-R15-C34,G2,G2,False,False
SA928-A73044A-R15-C35,G2,G2,False,False
SA928-A73044A-R15-C37,G1,G1,False,False
SA928-A73044A-R15-C42,S,S,True,False
SA928-A73044A-R15-C43,S,S,True,False
SA928-A73044A-R15-C44,S,S,True,False
SA928-A73044A-R15-C45,S,S,True,False
SA928-A73044A-R15-C49,S,S,True,False
SA928-A73044A-R15-C50,S,S,True,False
SA928-A73044A-R15-C51,S,S,False,False
SA928-A73044A-R15-C52,S,S,True,False
SA928-A73044A-R16-C03,G1,G1,False,False
SA928-A73044A-R16-C05,G1,G1,False,False
SA928-A73044A-R16-C06,G1,G1,False,False
SA928-A73044A-R16-C07,G1,G1,False,False
SA928-A73044A-R16-C08,G1,G1,False,False
SA928-A73044A-R16-C09,G1,G1,False,False
SA928-A73044A-R16-C10,G1,G1,False,False
SA928-A73044A-R16-C11,G1,G1,False,False
SA928-A73044A-R16-C12,G1,G1,False,False
SA928-A73044A-R16-C13,G1,G1,False,False
SA928-A73044A-R16-C14,G1,G1,False,False
SA928-A73044A-R16-C16,G1,G1,False,False
SA928-A73044A-R16-C18,G1,G1,False,False
SA928-A73044A-R16-C19,G1,G1,False,False
SA928-A73044A-R16-C26,G2,G2,False,False
SA928-A73044A-R16-C27,G2,G2,False,False
SA928-A73044A-R16-C28,G2,G2,False,False
SA928-A73044A-R16-C29,G2,G2,False,False
SA928-A73044A-R16-C30,G2,G2,False,False
SA928-A73044A-R16-C32,G2,G2,False,False
SA928-A73044A-R16-C33,G2,G2,False,False
SA928-A73044A-R16-C37,G1,G1,False,False
SA928-A73044A-R16-C40,S,S,True,False
SA928-A73044A-R16-C41,S,S,True,False
SA928-A73044A-R16-C42,S,S,True,False
SA928-A73044A-R16-C44,S,S,False,False
SA928-A73044A-R16-C45,S,S,True,False
SA928-A73044A-R16-C48,S,S,True,False
SA928-A73044A-R16-C49,S,S,True,False
SA928-A73044A-R16-C50,S,S,True,False
SA928-A73044A-R16-C51,S,S,True,False
SA928-A73044A-R16-C52,S,S,True,False
SA928-A73044A-R17-C03,G1,G1,False,False
SA928-A73044A-R17-C05,G1,G1,False,False
SA928-A73044A-R17-C08,G1,G1,False,False
SA928-A73044A-R17-C09,G1,G1,False,False
SA928-A73044A-R17-C10,G1,G1,False,False
SA928-A73044A-R17-C11,G1,G1,False,False
SA928-A73044A-R17-C12,G1,G1,False,False
SA928-A73044A-R17-C13,G1,G1,False,False
SA928-A73044A-R17-C14,G1,G1,False,False
SA928-A73044A-R17-C16,G1,G1,False,False
SA928-A73044A-R17-C17,G1,G1,False,False
SA928-A73044A-R17-C18,G1,S,True,True
SA928-A73044A-R17-C21,G2,G2,False,False
SA928-A73044A-R17-C22,G2,G2,False,False
SA928-A73044A-R17-C24,G2,G2,False,False
SA928-A73044A-R17-C26,G2,G2,False,False
SA928-A73044A-R17-C29,G2,G2,False,False
SA928-A73044A-R17-C30,G2,G2,False,False
SA928-A73044A-R17-C32,G2,G2,False,False
SA928-A73044A-R17-C35,G2,G2,False,False
SA928-A73044A-R17-C37,G1,G1,False,False
SA928-A73044A-R17-C40,S,S,True,False
SA928-A73044A-R17-C42,S,S,True,False
SA928-A73044A-R17-C43,S,S,True,False
SA928-A73044A-R17-C44,S,S,True,False
SA928-A73044A-R17-C45,S,S,False,False
SA928-A73044A-R17-C48,S,S,True,False
SA928-A73044A-R17-C49,S,S,True,False
SA928-A73044A-R17-C50,S,S,True,False
SA928-A73044A-R17-C51,S,S,True,False
SA928-A73044A-R17-C52,S,S,True,False
SA928-A73044A-R18-C03,G1,G1,False,False
SA928-A73044A-R18-C04,G1,G1,False,False
SA928-A73044A-R18-C05,G1,G1,False,False
SA928-A73044A-R18-C06,G1,G1,False,False
SA928-A73044A-R18-C07,G1,S,True,True
SA928-A73044A-R18-C08,G1,G1,False,False
SA928-A73044A-R18-C09,G1,G1,False,False
SA928-A73044A-R18-C12,G1,G1,False,False
SA928-A73044A-R18-C16,G1,G1,False,False
SA928-A73044A-R18-C18,G1,G1,False,False
SA928-A73044A-R18-C19,G1,G1,False,False
SA928-A73044A-R18-C21,G2,G2,False,False
SA928-A73044A-R18-C22,G2,G2,False,False
SA928-A73044A-R18-C24,G2,S,True,True
SA928-A73044A-R18-C25,G2,G2,False,False
SA928-A73044A-R18-C26,G2,G2,False,False
SA928-A73044A-R18-C27,G2,G2,False,False
SA928-A73044A-R18-C29,G2,G2,False,False
SA928-A73044A-R18-C30,G2,G2,False,False
SA928-A73044A-R18-C32,G2,G2,False,False
SA928-A73044A-R18-C34,G2,G2,False,False
SA928-A73044A-R18-C35,G2,G2,False,False
SA928-A73044A-R18-C37,G1,G1,False,False
SA928-A73044A-R18-C40,S,S,True,False
SA928-A73044A-R18-C41,S,S,True,False
SA928-A73044A-R18-C43,S,S,True,False
SA928-A73044A-R18-C44,S,S,True,False
SA928-A73044A-R18-C45,S,S,True,False
SA928-A73044A-R18-C49,S,S,True,False
SA928-A73044A-R18-C50,S,S,True,False
SA928-A73044A-R18-C51,S,S,True,False
SA928-A73044A-R18-C52,S,S,True,False
SA928-A73044A-R19-C03,G1,G1,False,False
SA928-A73044A-R19-C07,G1,G1,False,False
SA928-A73044A-R19-C08,G1,G1,False,False
SA928-A73044A-R19-C09,G1,G1,False,False
SA928-A73044A-R19-C10,G1,G1,False,False
SA928-A73044A-R19-C13,G1,G1,False,False
SA928-A73044A-R19-C14,G1,G1,False,False
SA928-A73044A-R19-C16,G1,G1,False,False
SA928-A73044A-R19-C17,G1,G1,False,False
SA928-A73044A-R19-C18,G1,G1,False,False
SA928-A73044A-R19-C19,G1,G1,False,False
SA928-A73044A-R19-C21,G2,S,True,True
SA928-A73044A-R19-C24,G2,G2,False,False
SA928-A73044A-R19-C25,G2,G2,False,False
SA928-A73044A-R19-C26,G2,S,True,True
SA928-A73044A-R19-C28,G2,G2,False,False
SA928-A73044A-R19-C29,G2,S,True,True
SA928-A73044A-R19-C32,G2,G2,False,False
SA928-A73044A-R19-C33,G2,G2,False,False
SA928-A73044A-R19-C35,G2,G2,False,False
SA928-A73044A-R19-C37,G1,G1,False,False
SA928-A73044A-R19-C40,S,S,True,False
SA928-A73044A-R19-C43,S,S,True,False
SA928-A73044A-R19-C44,S,S,True,False
SA928-A73044A-R19-C48,S,S,True,False
SA928-A73044A-R19-C50,S,S,True,False
SA928-A73044A-R19-C51,S,S,True,False
SA928-A73044A-R19-C52,S,S,True,False
SA928-A73044A-R20-C03,G1,G1,False,False
SA928-A73044A-R20-C05,G1,G1,False,False
SA928-A73044A-R20-C06,G1,G1,False,False
SA928-A73044A-R20-C07,G1,G1,True,False
SA928-A73044A-R20-C08,G1,G1,False,False
SA928-A73044A-R20-C10,G1,G1,False,False
SA928-A73044A-R20-C11,G1,G1,False,False
SA928-A73044A-R20-C12,G1,G1,False,False
SA928-A73044A-R20-C16,G1,G1,False,False
SA928-A73044A-R20-C17,G1,G1,False,False
SA928-A73044A-R20-C18,G1,G1,False,False
SA928-A73044A-R20-C19,G1,G1,False,False
SA928-A73044A-R20-C21,G2,G2,False,False
SA928-A73044A-R20-C24,G2,G2,False,False
SA928-A73044A-R20-C25,G2,S,True,True
SA928-A73044A-R20-C26,G2,G2,False,False
SA928-A73044A-R20-C27,G2,G2,False,False
SA928-A73044A-R20-C28,G2,G2,False,False
SA928-A73044A-R20-C29,G2,G2,False,False
SA928-A73044A-R20-C32,G2,G2,False,False
SA928-A73044A-R20-C34,G2,G2,False,False
SA928-A73044A-R20-C37,G1,G1,False,False
SA928-A73044A-R20-C40,S,S,True,False
SA928-A73044A-R20-C41,S,S,True,False
SA928-A73044A-R20-C43,S,S,True,False
SA928-A73044A-R20-C44,S,S,True,False
SA928-A73044A-R20-C48,S,S,True,False
SA928-A73044A-R20-C49,S,S,False,False
SA928-A73044A-R20-C51,S,S,True,False
SA928-A73044A-R20-C52,S,S,True,False
SA928-A73044A-R21-C03,G1,G1,False,False
SA928-A73044A-R21-C05,G1,G1,False,False
SA928-A73044A-R21-C07,G1,G1,False,False
SA928-A73044A-R21-C08,G1,G1,False,False
SA928-A73044A-R21-C09,G1,G1,False,False
SA928-A73044A-R21-C10,G1,G1,False,False
SA928-A73044A-R21-C11,G1,G1,False,False
SA928-A73044A-R21-C12,G1,G1,False,False
SA928-A73044A-R21-C14,G1,G1,False,False
SA928-A73044A-R21-C18,G1,G1,False,False
SA928-A73044A-R21-C19,G1,G1,False,False
SA928-A73044A-R21-C20,G2,S,True,True
SA928-A73044A-R21-C21,G2,G2,True,False
SA928-A73044A-R21-C28,G2,G2,False,False
SA928-A73044A-R21-C30,G2,G2,False,False
SA928-A73044A-R21-C32,G2,G2,False,False
SA928-A73044A-R21-C33,G2,G2,False,False
SA928-A73044A-R21-C42,S,S,True,False
SA928-A73044A-R21-C43,S,S,True,False
SA928-A73044A-R21-C45,S,S,True,False
SA928-A73044A-R21-C49,S,S,True,False
SA928-A73044A-R21-C50,S,S,True,False
SA928-A73044A-R21-C52,S,G1,True,True
SA928-A73044A-R22-C05,G1,G1,False,False
SA928-A73044A-R22-C06,G1,G1,False,False
SA928-A73044A-R22-C07,G1,G1,False,False
SA928-A73044A-R22-C09,G1,G1,False,False
SA928-A73044A-R22-C12,G1,G1,False,False
SA928-A73044A-R22-C16,G1,G1,False,False
SA928-A73044A-R22-C17,G1,G1,False,False
SA928-A73044A-R22-C18,G1,G1,True,False
SA928-A73044A-R22-C19,G1,G1,True,False
SA928-A73044A-R22-C21,G2,G2,False,False
SA928-A73044A-R22-C24,G2,G2,False,False
SA928-A73044A-R22-C26,G2,G2,False,False
SA928-A73044A-R22-C29,G2,G2,False,False
SA928-A73044A-R22-C33,G2,G2,False,False
SA928-A73044A-R22-C35,G2,G2,False,False
SA928-A73044A-R22-C37,G1,G1,False,False
SA928-A73044A-R22-C42,S,S,True,False
SA928-A73044A-R22-C44,S,S,True,False
SA928-A73044A-R22-C48,S,S,True,False
SA928-A73044A-R22-C49,S,S,True,False
SA928-A73044A-R22-C52,S,S,True,False
SA928-A73044A-R23-C03,G1,G1,False,False
SA928-A73044A-R23-C05,G1,G1,True,False
SA928-A73044A-R23-C06,G1,G1,False,False
SA928-A73044A-R23-C10,G1,G1,False,False
SA928-A73044A-R23-C11,G1,G1,False,False
SA928-A73044A-R23-C12,G1,G1,False,False
SA928-A73044A-R23-C13,G1,G1,False,False
SA928-A73044A-R23-C14,G1,G1,False,False
SA928-A73044A-R23-C18,G1,G1,False,False
SA928-A73044A-R23-C19,G1,G1,False,False
SA928-A73044A-R23-C26,G2,G2,False,False
SA928-A73044A-R23-C37,G1,G1,False,False
SA928-A73044A-R23-C40,S,S,True,False
SA928-A73044A-R23-C42,S,S,True,False
SA928-A73044A-R23-C43,S,S,True,False
SA928-A73044A-R23-C45,S,S,True,False
SA928-A73044A-R23-C48,S,S,True,False
SA928-A73044A-R23-C49,S,S,True,False
SA928-A73044A-R23-C50,S,S,True,False
SA928-A73044A-R23-C51,S,S,True,False
SA928-A73044A-R23-C52,S,S,True,False
SA928-A73044A-R24-C03,G1,G1,False,False
SA928-A73044A-R24-C06,G1,G1,False,False
SA928-A73044A-R24-C07,G1,G1,False,False
SA928-A73044A-R24-C08,G1,G1,False,False
SA928-A73044A-R24-C10,G1,G1,False,False
SA928-A73044A-R24-C13,G1,G1,False,False
SA928-A73044A-R24-C14,G1,G1,False,False
SA928-A73044A-R24-C16,G1,G1,False,False
SA928-A73044A-R24-C17,G1,G1,False,False
SA928-A73044A-R24-C19,G1,G1,False,False
SA928-A73044A-R24-C37,G1,G1,False,False
SA928-A73044A-R24-C40,S,S,True,False
SA928-A73044A-R24-C43,S,S,False,False
SA928-A73044A-R24-C44,S,S,True,False
SA928-A73044A-R24-C45,S,S,True,False
SA928-A73044A-R24-C48,S,S,True,False
SA928-A73044A-R24-C49,S,G2,True,True
SA928-A73044A-R24-C51,S,S,True,False
SA928-A73044A-R24-C52,S,S,True,False
SA928-A73044A-R25-C03,G1,G1,False,False
SA928-A73044A-R25-C06,G1,S,True,True
SA928-A73044A-R25-C07,G1,G1,False,False
SA928-A73044A-R25-C08,G1,G1,False,False
SA928-A73044A-R25-C09,G1,G1,False,False
SA928-A73044A-R25-C12,G1,G1,False,False
SA928-A73044A-R25-C13,G1,G1,False,False
SA928-A73044A-R25-C15,G1,G1,False,False
SA928-A73044A-R25-C16,G1,S,True,True
SA928-A73044A-R25-C17,G1,G1,False,False
SA928-A73044A-R25-C19,G1,G1,False,False
SA928-A73044A-R25-C37,G1,G1,False,False
SA928-A73044A-R25-C40,S,S,True,False
SA928-A73044A-R25-C41,S,S,True,False
SA928-A73044A-R25-C42,S,S,True,False
SA928-A73044A-R25-C43,S,S,True,False
SA928-A73044A-R25-C44,S,S,True,False
SA928-A73044A-R25-C45,S,S,True,False
SA928-A73044A-R25-C48,S,S,True,False
SA928-A73044A-R25-C49,S,G2,True,True
SA928-A73044A-R25-C50,S,S,True,False
SA928-A73044A-R25-C52,S,S,True,False
SA928-A73044A-R26-C03,G1,G1,False,False
SA928-A73044A-R26-C05,G1,G1,False,False
SA928-A73044A-R26-C07,G1,G1,False,False
SA928-A73044A-R26-C08,G1,G1,False,False
SA928-A73044A-R26-C09,G1,G1,False,False
SA928-A73044A-R26-C10,G1,G1,False,False
SA928-A73044A-R26-C11,G1,G1,False,False
SA928-A73044A-R26-C14,G1,G1,False,False
SA928-A73044A-R26-C16,G1,G1,False,False
SA928-A73044A-R26-C19,G1,G1,False,False
SA928-A73044A-R26-C37,G1,G1,False,False
SA928-A73044A-R27-C05,G1,G1,False,False
SA928-A73044A-R27-C06,G1,G1,False,False
SA928-A73044A-R27-C07,G1,G1,False,False
SA928-A73044A-R27-C08,G1,G1,False,False
SA928-A73044A-R27-C09,G1,G1,False,False
SA928-A73044A-R27-C10,G1,G1,False,False
SA928-A73044A-R27-C16,G1,G1,False,False
SA928-A73044A-R27-C17,G1,G1,False,False
SA928-A73044A-R27-C18,G1,G1,False,False
SA928-A73044A-R27-C37,G1,G1,False,False
SA928-A73044A-R28-C03,G1,G1,False,False
SA928-A73044A-R28-C05,G1,G1,False,False
SA928-A73044A-R28-C06,G1,G1,False,False
SA928-A73044A-R28-C08,G1,G1,False,False
SA928-A73044A-R28-C09,G1,G1,False,False
SA928-A73044A-R28-C12,G1,G1,False,False
SA928-A73044A-R28-C14,G1,G1,False,False
SA928-A73044A-R28-C16,G1,G1,False,False
SA928-A73044A-R28-C17,G1,G1,False,False
SA928-A73044A-R28-C18,G1,G1,False,False
SA928-A73044A-R28-C37,G1,G1,False,False
SA928-A73044A-R29-C03,G1,G1,False,False
SA928-A73044A-R29-C05,G1,G1,False,False
SA928-A73044A-R29-C07,G1,G1,False,False
SA928-A73044A-R29-C08,G1,G1,False,False
SA928-A73044A-R29-C09,G1,G1,False,False
SA928-A73044A-R29-C10,G1,G1,False,False
SA928-A73044A-R29-C11,G1,G1,False,False
SA928-A73044A-R29-C13,G1,G1,False,False
SA928-A73044A-R29-C16,G1,G1,False,False
SA928-A73044A-R29-C17,G1,G1,False,False
SA928-A73044A-R29-C18,G1,G1,False,False
SA928-A73044A-R29-C19,G1,G1,False,False
SA928-A73044A-R29-C37,G1,G1,False,False
SA928-A73044A-R30-C03,G1,G1,False,False
SA928-A73044A-R30-C05,G1,G1,False,False
SA928-A73044A-R30-C07,G1,G1,False,False
SA928-A73044A-R30-C13,G1,G1,False,False
SA928-A73044A-R30-C14,G1,G1,False,False
SA928-A73044A-R30-C17,G1,G1,False,False
SA928-A73044A-R30-C18,G1,G1,False,False
SA928-A73044A-R31-C03,G1,G1,False,False
SA928-A73044A-R31-C05,G1,G1,False,False
SA928-A73044A-R31-C06,G1,G1,False,False
SA928-A73044A-R31-C07,G1,G1,False,False
SA928-A73044A-R31-C09,G1,G1,False,False
SA928-A73044A-R31-C13,G1,G1,False,False
SA928-A73044A-R31-C14,G1,G1,False,False
SA928-A73044A-R31-C15,G1,G1,False,False
SA928-A73044A-R31-C16,G1,G1,False,False
SA928-A73044A-R31-C17,G1,G1,False,False
SA928-A73044A-R31-C19,G1,G1,False,False
SA928-A90553C-R43-C03,G1,G1,False,False
